date_clean,avg_goals,avg_attempts,avg_on_target,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,temp_group,humidity_group,is_outlier,temp_norm,humidity_norm,climate_impact_score
2022-11-20,1.0,5.5,1.5,qatar,2022-11-20,84.2,75.1,78.5,84.5,75.1,78.6,61.6,56.7,0.0,0,0.0,,0.0,0,30.0,18.4,324.9,1016.7,0.0,6.0,190.4,16.5,7.0,,2022-11-20T05:54:25,2022-11-20T16:44:23,0.88,Clear,Clear conditions throughout the day.,clear-day,"OTHH,OTBD,41170099999,41170399999,41176099999",Hot,Dry,False,0.8299999999999997,0.42911877394636033,0.5894712643678162
2022-11-21,4.0,10.5,5.0,qatar,2022-11-21,81.8,71.5,77.725,81.9,71.5,75.8,58.3,55.2,0.0,0,0.0,,0.0,0,26.2,14.0,314.9,1016.8,11.1,6.2,190.5,16.4,7.0,,2022-11-21T05:55:09,2022-11-21T16:44:09,0.92,Clear,Clear conditions throughout the day.,clear-day,"OTHH,OTBD,41170599999,41170099999,41170399999,41176099999",Hot,Dry,False,0.7524999999999992,0.37164750957854426,0.5239885057471263
2022-11-21,1.0,11.5,3.0,qatar,2022-11-21,81.8,71.5,76.95,81.9,71.5,75.8,58.3,55.2,0.0,0,0.0,,0.0,0,26.2,14.0,314.9,1016.8,11.1,6.2,190.5,16.4,7.0,,2022-11-21T05:55:09,2022-11-21T16:44:09,0.92,Clear,Clear conditions throughout the day.,clear-day,"OTHH,OTBD,41170599999,41170099999,41170399999,41176099999",Mild,Dry,False,0.675,0.37164750957854426,0.4929885057471266
2022-11-21,1.0,6.5,2.0,qatar,2022-11-21,81.8,71.5,76.17500000000001,81.9,71.5,75.8,58.3,55.2,0.0,0,0.0,,0.0,0,26.2,14.0,314.9,1016.8,11.1,6.2,190.5,16.4,7.0,,2022-11-21T05:55:09,2022-11-21T16:44:09,0.92,Clear,Clear conditions throughout the day.,clear-day,"OTHH,OTBD,41170599999,41170099999,41170399999,41176099999",Mild,Dry,False,0.5975000000000008,0.37164750957854426,0.4619885057471269
2022-11-22,1.5,8.5,4.0,qatar,2022-11-22,80.6,69.6,75.4,80.9,69.6,75.4,57.8,54.8,0.0,0,0.0,,0.0,0,16.8,8.0,247.1,1017.3,5.2,6.2,193.6,16.7,7.0,,2022-11-22T05:55:53,2022-11-22T16:43:57,0.95,Clear,Clear conditions throughout the day.,clear-day,"OTHH,OTBD,41170099999,41170399999,41176099999",Mild,Dry,False,0.5200000000000002,0.3563218390804597,0.4217931034482759
2022-11-22,0.0,11.0,2.5,qatar,2022-11-22,80.6,69.6,75.4,80.9,69.6,75.4,57.8,54.8,0.0,0,0.0,,0.0,0,16.8,8.0,247.1,1017.3,5.2,6.2,193.6,16.7,7.0,,2022-11-22T05:55:53,2022-11-22T16:43:57,0.95,Clear,Clear conditions throughout the day.,clear-day,"OTHH,OTBD,41170099999,41170399999,41176099999",Mild,Dry,False,0.5200000000000002,0.3563218390804597,0.4217931034482759
2022-11-22,0.0,10.5,2.5,qatar,2022-11-22,80.6,69.6,75.4,80.9,69.6,75.4,57.8,54.8,0.0,0,0.0,,0.0,0,16.8,8.0,247.1,1017.3,5.2,6.2,193.6,16.7,7.0,,2022-11-22T05:55:53,2022-11-22T16:43:57,0.95,Clear,Clear conditions throughout the day.,clear-day,"OTHH,OTBD,41170099999,41170399999,41176099999",Mild,Dry,False,0.5200000000000002,0.3563218390804597,0.4217931034482759
2022-11-22,2.5,13.0,4.0,qatar,2022-11-22,80.6,69.6,75.4,80.9,69.6,75.4,57.8,54.8,0.0,0,0.0,,0.0,0,16.8,8.0,247.1,1017.3,5.2,6.2,193.6,16.7,7.0,,2022-11-22T05:55:53,2022-11-22T16:43:57,0.95,Clear,Clear conditions throughout the day.,clear-day,"OTHH,OTBD,41170099999,41170399999,41176099999",Mild,Dry,False,0.5200000000000002,0.3563218390804597,0.4217931034482759
2022-11-23,0.0,7.0,2.0,qatar,2022-11-23,81.1,67.7,75.4,80.5,67.7,75.4,55.9,51.7,0.0,0,0.0,,0.0,0,10.3,7.0,160.7,1016.9,5.5,6.3,199.8,17.4,,,2022-11-23T05:56:36,2022-11-23T16:43:46,0.98,Clear,Clear conditions throughout the day.,clear-day,"OTHH,OTBD,41170099999,41170399999,41176099999",Mild,Dry,False,0.5200000000000002,0.23754789272030669,0.3505287356321841
2022-11-23,1.5,17.5,6.0,qatar,2022-11-23,81.1,67.7,75.4,80.5,67.7,75.4,55.9,51.7,0.0,0,0.0,,0.0,0,10.3,7.0,160.7,1016.9,5.5,6.3,199.8,17.4,,,2022-11-23T05:56:36,2022-11-23T16:43:46,0.98,Clear,Clear conditions throughout the day.,clear-day,"OTHH,OTBD,41170099999,41170399999,41176099999",Mild,Dry,False,0.5200000000000002,0.23754789272030669,0.3505287356321841
